ppm,Intensity
126.948476,-3425.705
126.942364,-42127.823
126.936252,-21679.245
126.930141,2466.263
126.924029,-32538.94
126.917917,-114487.312
126.911805,-78134.277
126.905693,-62730.438
126.899581,-47326.614
126.89347,-50407.379
126.887358,-53488.144
126.881246,-56568.909
126.875134,-59649.673
126.869022,-59341.599
126.86291,-59033.524
126.856798,-29150.101
126.850687,733.337
126.844575,4122.177
126.838463,7511.017
126.832351,-18675.491
126.826239,-44862
126.820127,-17443.192
126.814016,9975.632
126.807904,7819.092
126.801792,5662.552
126.79568,-23604.721
126.789568,-52871.994
126.783456,-8200.882
126.777345,-81831.192
126.771233,-114795.387
126.765121,-29458.176
126.759009,-18059.341
126.752897,-6660.507
126.746785,-19291.641
126.740673,-31922.791
126.734562,-44553.925
126.72845,-57185.074
126.722338,-19099.106
126.716226,18986.877
126.710114,-51370.117
126.704002,-121727.112
126.697891,-93499.588
126.691779,-65272.079
126.685667,-37044.556
126.679555,-8817.047
126.673443,-33886.78
126.667331,-58956.512
126.66122,-34733.978
126.655108,-10511.459
126.648996,-31884.277
126.642884,-53257.095
126.636772,-82023.743
126.63066,-110790.39
126.624548,-14786.026
126.618437,-37083.069
126.612325,-42127.823
126.606213,-47172.577
126.600101,-70701.935
126.593989,-94231.277
126.587877,-48751.465
126.581766,-3271.667
126.575654,7857.605
126.569542,18986.877
126.56343,22722.29
126.557318,26457.733
126.551206,38819.305
126.545095,-67120.544
126.538983,-57223.572
126.532871,-47326.614
126.526759,-45131.577
126.520647,-42936.523
126.514535,-40741.486
126.508424,-38546.432
126.502312,-40664.459
126.4962,-42782.486
126.490088,-44900.513
126.483976,-47018.539
126.477864,-35427.155
126.471752,-23835.77
126.465641,-12244.4
126.459529,-653.015
126.453417,-11859.299
126.447305,-23065.582
126.441193,-34271.866
126.435081,-45478.149
126.42897,-65926.743
126.422858,-86375.32
126.416746,-77248.55
126.410634,-68121.78
126.404522,-56530.411
126.39841,-44939.026
126.392299,33196.899
126.386187,-6968.582
126.380075,-20485.443
126.373963,-34002.304
126.367851,-25337.646
126.361739,-16672.989
126.355627,-69007.507
126.349516,-121342.018
126.343404,-104667.374
126.337292,-87992.722
126.33118,-20947.556
126.325068,46097.595
126.318956,24416.718
126.312845,2735.825
126.306733,34660.278
126.300621,66584.717
126.294509,98509.125
126.288397,130433.563
126.282285,24185.669
126.276174,-82062.256
126.270062,-79867.203
126.26395,-77672.165
126.257838,-89648.636
126.251726,-101625.122
126.245614,-44592.438
126.239502,12440.247
126.233391,2697.327
126.227279,-7045.609
126.221167,79331.36
126.215055,47406.921
126.208943,18563.263
126.202831,-10280.411
126.19672,-16942.566
126.190608,-23604.721
126.184496,-30883.026
