ppm,Intensity
-171.23,-1040216
-171.224,-1022140
-171.218,-1003012
-171.212,-982954
-171.206,-962094
-171.2,-940566
-171.194,-918510
-171.187,-896066
-171.181,-873384
-171.175,-850610
-171.169,-827894
-171.163,-805388
-171.157,-783240
-171.151,-761600
-171.145,-740614
-171.139,-720422
-171.133,-701162
-171.127,-682966
-171.121,-665962
-171.115,-650266
-171.109,-635994
-171.103,-623244
-171.097,-612114
-171.091,-602686
-171.085,-595036
-171.079,-589226
-171.073,-585308
-171.067,-583326
-171.061,-583308
-171.055,-585272
-171.049,-589228
-171.043,-595168
-171.037,-603076
-171.03,-612928
-171.024,-624682
-171.018,-638292
-171.012,-653696
-171.006,-670826
-171,-689602
-170.994,-709940
-170.988,-731744
-170.982,-754908
-170.976,-779328
-170.97,-804884
-170.964,-831458
-170.958,-858926
-170.952,-887158
-170.946,-916026
-170.94,-945396
-170.934,-975134
-170.928,-1005106
-170.922,-1035182
-170.916,-1065228
-170.91,-1095116
-170.904,-1124722
-170.898,-1153920
-170.892,-1182596
-170.886,-1210634
-170.879,-1237930
-170.873,-1264382
-170.867,-1289896
-170.861,-1314384
-170.855,-1337770
-170.849,-1359978
-170.843,-1380946
-170.837,-1400618
-170.831,-1418948
-170.825,-1435896
-170.819,-1451432
-170.813,-1465534
-170.807,-1478188
-170.801,-1489386
-170.795,-1499132
-170.789,-1507434
-170.783,-1514308
-170.777,-1519778
-170.771,-1523874
-170.765,-1526630
-170.759,-1528088
-170.753,-1528292
-170.747,-1527296
-170.741,-1525150
-170.735,-1521912
-170.729,-1517646
-170.722,-1512410
-170.716,-1506272
-170.71,-1499294
-170.704,-1491542
-170.698,-1483082
-170.692,-1473982
-170.686,-1464302
-170.68,-1454106
-170.674,-1443458
-170.668,-1432410
-170.662,-1421022
-170.656,-1409346
-170.65,-1397432
-170.644,-1385322
-170.638,-1373062
-170.632,-1360686
-170.626,-1348228
-170.62,-1335718
-170.614,-1323180
-170.608,-1310636
-170.602,-1298100
-170.596,-1285584
-170.59,-1273094
-170.584,-1260634
-170.578,-1248206
-170.572,-1235802
-170.565,-1223416
-170.559,-1211036
-170.553,-1198646
-170.547,-1186234
-170.541,-1173776
-170.535,-1161252
-170.529,-1148642
-170.523,-1135916
-170.517,-1123054
-170.511,-1110026
-170.505,-1096808
-170.499,-1083374
-170.493,-1069696
-170.487,-1055752
-170.481,-1041514
-170.475,-1026964
-170.469,-1012076
-170.463,-996834
-170.457,-981222
-170.451,-965224
-170.445,-948828
-170.439,-932024
-170.433,-914810
-170.427,-897178
-170.421,-879132
-170.414,-860674
-170.408,-841812
-170.402,-822554
-170.396,-802916
-170.39,-782912
-170.384,-762564
-170.378,-741892
-170.372,-720926
-170.366,-699692
-170.36,-678220
-170.354,-656548
-170.348,-634710
-170.342,-612742
-170.336,-590686
-170.33,-568582
-170.324,-546474
-170.318,-524406
-170.312,-502420
-170.306,-480562
-170.3,-458876
-170.294,-437408
-170.288,-416202
-170.282,-395298
-170.276,-374742
-170.27,-354574
-170.264,-334832
-170.257,-315556
-170.251,-296778
-170.245,-278534
-170.239,-260854
-170.233,-243764
-170.227,-227292
-170.221,-211458
-170.215,-196280.4
-170.209,-181775.6
-170.203,-167955.6
-170.197,-154829
-170.191,-142400.8
-170.185,-130672.8
-170.179,-119643.2
-170.173,-109306.6
-170.167,-99654.2
-170.161,-90674
-170.155,-82350.8
-170.149,-74665.8
-170.143,-67597.6
-170.137,-61122
-170.131,-55211.6
-170.125,-49837
-170.119,-44966.4
-170.113,-40565.8
-170.106,-36599.2
-170.1,-33029.4
-170.094,-29817.6
-170.088,-26924
-170.082,-24307.6
-170.076,-21927.2
-170.07,-19741.16
-170.064,-17707.86
-170.058,-15785.8
-170.052,-13933.88
-170.046,-12111.96
-170.04,-10280.72
-170.034,-8401.96
-170.028,-6439.16
