ppm,Intensity
-134.026,-92273.5
-134.02,-70042.5
-134.014,-52841.5
-134.008,-41179.7
-134.002,-35335.95
-133.996,-35344.75
-133.99,-40991.2
-133.984,-51823
-133.978,-67167.5
-133.972,-86159.5
-133.966,-107779.5
-133.96,-130897.5
-133.954,-154324
-133.948,-176863.5
-133.942,-197365
-133.935,-214780
-133.929,-228204.5
-133.923,-236927.5
-133.917,-240462.5
-133.911,-238569
-133.905,-231272.5
-133.899,-218861
-133.893,-201879
-133.887,-181104.5
-133.881,-157519.5
-133.875,-132268
-133.869,-106609
-133.863,-81863.5
-133.857,-59360
-133.851,-40377.95
-133.845,-26094.75
-133.839,-17535.65
-133.833,-15532.7
-133.827,-20688.95
-133.821,-33357.4
-133.815,-53625.5
-133.809,-81313.5
-133.803,-115985.5
-133.797,-156968
-133.791,-203379
-133.785,-254166.5
-133.778,-308152.5
-133.772,-364078
-133.766,-420656.5
-133.76,-476618
-133.754,-530760
-133.748,-581990
-133.742,-629350
-133.736,-672065
-133.73,-709535
-133.724,-741375
-133.718,-767390
-133.712,-787575
-133.706,-802105
-133.7,-811320
-133.694,-815660
-133.688,-815685
-133.682,-811990
-133.676,-805220
-133.67,-796000
-133.664,-784930
-133.658,-772555
-133.652,-759340
-133.646,-745685
-133.64,-731885
-133.634,-718160
-133.627,-704645
-133.621,-691420
-133.615,-678515
-133.609,-665940
-133.603,-653690
-133.597,-641790
-133.591,-630290
-133.585,-619290
-133.579,-608965
-133.573,-599545
-133.567,-591335
-133.561,-584710
-133.555,-580085
-133.549,-577920
-133.543,-578700
-133.537,-582885
-133.531,-590915
-133.525,-603170
-133.519,-619950
-133.513,-641440
-133.507,-667710
-133.501,-698700
-133.495,-734190
-133.489,-773835
-133.483,-817135
-133.477,-863480
-133.47,-912140
-133.464,-962315
-133.458,-1013130
-133.452,-1063705
-133.446,-1113150
-133.44,-1160630
-133.434,-1205360
-133.428,-1246655
-133.422,-1283950
-133.416,-1316805
-133.41,-1344915
-133.404,-1368130
-133.398,-1386425
-133.392,-1399915
-133.386,-1408820
-133.38,-1413450
-133.374,-1414190
-133.368,-1411460
-133.362,-1405690
-133.356,-1397305
-133.35,-1386690
-133.344,-1374165
-133.338,-1360000
-133.332,-1344360
-133.326,-1327340
-133.319,-1308950
