,x,y,system
518,11.741,491.0,CHA/AEI_calcined
519,11.754,491.0,CHA/AEI_calcined
520,11.767,493.0,CHA/AEI_calcined
521,11.78,491.0,CHA/AEI_calcined
522,11.793,488.0,CHA/AEI_calcined
523,11.806,486.0,CHA/AEI_calcined
524,11.819,481.0,CHA/AEI_calcined
525,11.832,491.0,CHA/AEI_calcined
526,11.845,483.0,CHA/AEI_calcined
527,11.858,492.0,CHA/AEI_calcined
528,11.871,489.0,CHA/AEI_calcined
529,11.884,490.0,CHA/AEI_calcined
530,11.897,486.0,CHA/AEI_calcined
531,11.91,493.0,CHA/AEI_calcined
532,11.923,481.0,CHA/AEI_calcined
533,11.936,484.0,CHA/AEI_calcined
534,11.949,478.0,CHA/AEI_calcined
535,11.962,481.0,CHA/AEI_calcined
536,11.975,486.0,CHA/AEI_calcined
537,11.988,487.0,CHA/AEI_calcined
538,12.001,485.0,CHA/AEI_calcined
539,12.014,487.0,CHA/AEI_calcined
540,12.027,484.0,CHA/AEI_calcined
541,12.04,482.0,CHA/AEI_calcined
542,12.053,483.0,CHA/AEI_calcined
543,12.066,484.0,CHA/AEI_calcined
544,12.079,488.0,CHA/AEI_calcined
545,12.092,486.0,CHA/AEI_calcined
546,12.105,484.0,CHA/AEI_calcined
547,12.118,486.0,CHA/AEI_calcined
548,12.131,490.0,CHA/AEI_calcined
549,12.144,489.0,CHA/AEI_calcined
550,12.157,492.0,CHA/AEI_calcined
551,12.17,488.0,CHA/AEI_calcined
552,12.183,481.0,CHA/AEI_calcined
553,12.196,484.0,CHA/AEI_calcined
554,12.209,483.0,CHA/AEI_calcined
555,12.222,489.0,CHA/AEI_calcined
556,12.235,497.0,CHA/AEI_calcined
557,12.248,496.0,CHA/AEI_calcined
558,12.261,490.0,CHA/AEI_calcined
559,12.274,486.0,CHA/AEI_calcined
560,12.287,489.0,CHA/AEI_calcined
561,12.3,492.0,CHA/AEI_calcined
562,12.313,490.0,CHA/AEI_calcined
563,12.326,489.0,CHA/AEI_calcined
564,12.339,490.0,CHA/AEI_calcined
565,12.352,494.0,CHA/AEI_calcined
566,12.365,498.0,CHA/AEI_calcined
567,12.378,499.0,CHA/AEI_calcined
568,12.391,497.0,CHA/AEI_calcined
569,12.404,494.0,CHA/AEI_calcined
570,12.417,499.0,CHA/AEI_calcined
571,12.43,500.0,CHA/AEI_calcined
572,12.443,498.0,CHA/AEI_calcined
573,12.456,499.0,CHA/AEI_calcined
574,12.469,505.0,CHA/AEI_calcined
575,12.482,512.0,CHA/AEI_calcined
576,12.495,512.0,CHA/AEI_calcined
577,12.508,516.0,CHA/AEI_calcined
578,12.521,515.0,CHA/AEI_calcined
579,12.534,514.0,CHA/AEI_calcined
580,12.547,522.0,CHA/AEI_calcined
581,12.56,522.0,CHA/AEI_calcined
582,12.573,523.0,CHA/AEI_calcined
583,12.586,522.0,CHA/AEI_calcined
584,12.599,532.0,CHA/AEI_calcined
585,12.612,536.0,CHA/AEI_calcined
586,12.625,537.0,CHA/AEI_calcined
587,12.638,546.0,CHA/AEI_calcined
588,12.651,552.0,CHA/AEI_calcined
589,12.664,553.0,CHA/AEI_calcined
590,12.677,563.0,CHA/AEI_calcined
591,12.69,563.0,CHA/AEI_calcined
592,12.703,571.0,CHA/AEI_calcined
593,12.716,581.0,CHA/AEI_calcined
594,12.729,599.0,CHA/AEI_calcined
595,12.742,595.0,CHA/AEI_calcined
596,12.755,599.0,CHA/AEI_calcined
597,12.768,624.0,CHA/AEI_calcined
598,12.781,628.0,CHA/AEI_calcined
599,12.794,635.0,CHA/AEI_calcined
600,12.807,655.0,CHA/AEI_calcined
601,12.82,680.0,CHA/AEI_calcined
602,12.833,702.0,CHA/AEI_calcined
603,12.846,701.0,CHA/AEI_calcined
604,12.859,728.0,CHA/AEI_calcined
605,12.872,752.0,CHA/AEI_calcined
606,12.885,779.0,CHA/AEI_calcined
607,12.898,819.0,CHA/AEI_calcined
608,12.911,854.0,CHA/AEI_calcined
