SMILES,AEI,CHA,color
CC[N+]1(CC)C[C@@H](C)CC[C@@H]1C,-14.01822263327975,-11.918414332350967,0.0
CC[N+]1(CC)C[C@@H](C)C[C@@H](C)C1,-14.421735340129736,-13.392984700668936,0.0
CC[N+]1(CC)C[C@@H](C)C[C@H](C)C1,-12.019660756327086,-11.741527186346051,1.2585743257495563
CC[N+]1(CC)C[C@H](C)CC[C@H]1C,-14.8714451157092,-11.962009212212775,0.9959553107507376
CC[N+]1(CC)C[C@H](C)C[C@@H](C)C1,-13.543334592402699,-12.52799121741574,0.0
CC[N+]1(CC)C[C@H]2[C@H]3C=C[C@H](C3)[C@H]2C1,-13.569351053780773,-12.48811236228849,1.5
CC[N+]1(CC)[C@@H](C)CCC[C@@H]1C,-17.305780730734757,-13.025056977675204,-0.08982220075802516
CC[N+]1(CC)[C@@H](C)CCC[C@H]1C,-13.51865149778652,-15.873329445769508,0.0
CC[N+]1(CC)[C@H](C)CCC[C@H]1C,-17.29927406254957,-15.362640414535345,-0.5791799836461173
CC[N+]12C[N@]3C[N@@](C1)C[N@](C2)C3,-14.501966920592075,-14.173952526124936,0.0
CC[N@+]1(C)CCCC(C)(C)C1,-13.964657885527695,-14.939146369312644,1.5
CC[N@+]1(C)CCCC[C@@H]1C,-14.953948442933564,-14.07321620125276,1.5
CC[N@+]1(C)CCCC[C@H]1C,-14.799236148553028,-13.26942016447552,1.5
CC[N@+]1(C)CC[C@@H](C)[C@H]2C[C@@H]1C2(C)C,-11.288244512617636,-12.673424525670088,0.0
CC[N@+]1(C)CC[C@H](C)[C@@H]2C[C@@H]1C2(C)C,-12.531956556186236,-11.34827059385715,-0.2537731094788533
CC[N@+]1(C)CC[C@H](C)[C@@H]2C[C@H]1C2(C)C,-13.375108222963664,-11.982334808852372,-0.5599138560780528
CC[N@+]1(C)C[C@@H](C)C[C@@H](C)C1,-14.161088721893089,-11.162350170963443,-0.7546559411939118
CC[N@+]1(C)C[C@@H]2CC[C@](C)(C1)C2(C)C,-12.626967194501448,-15.623785694345761,-0.8430172805656753
CC[N@+]1(C)C[C@@H]2C[C@H]1CN(C)C2,-14.785253396072678,-14.78856213886798,0.0
CC[N@+]1(C)C[C@H]2CC[C@@](C)(C1)C2(C)C,-11.180654138921373,-13.062459349560447,0.6331798969237052
CC[N@+]1(C)C[C@H]2CC[C@H](CC2)C1,-15.570344963726402,-17.548379737137466,-1.0563346985903408
CC[N@+]1(C)C[C@H]2C[C@@H]1CN(C)C2,-14.779865716338227,-15.645255204809372,0.0
CC[N@+]1(C)[C@@H](C)CCC[C@H]1C,-15.546187714081723,-14.51887241430101,0.0
CC[N@+]1(C)[C@H]2CCC[C@@H]1CCC2,-14.309398069802985,-15.459668781917431,-1.15027071211445
CC[N@@+]1(C)CCCC[C@@H]1C,-14.160709816017265,-13.239661010893624,0.34897529330880417
CC[N@@+]1(C)CCCC[C@H]1C,-14.878380540516732,-14.543480886905876,0.4052663734111679
CC[N@@+]1(C)CC[C@@H](C)[C@@H]2C[C@H]1C2(C)C,-11.439526271592676,-13.01106207742558,0.0
CC[N@@+]1(C)C[C@@H](C)C[C@@H](C)C1,-12.947499775857803,-11.38922292852782,0.0
CC[N@@+]1(C)C[C@@H]2CC[C@](C)(C1)C2(C)C,-12.86199217731302,-13.569906232968373,0.0
CC[N@@+]1(C)C[C@@H]2C[C@H]1CN(C)C2,-13.893691247217715,-14.993723904664336,0.0
CC[N@@+]1(C)C[C@H]2CC[C@@](C)(C1)C2(C)C,-13.512450466940455,-13.919026636172054,0.0
CC[N@@+]1(C)C[C@H]2C[C@@H]1CN(C)C2,-13.66014602753375,-11.436932263875685,0.20364484242137407
CC[N@@+]1(C)[C@@H](C)CCC[C@H]1C,-15.983261993807972,-13.975898860349668,-0.017288518765511185
CC[NH+](CC)CC,-11.442650787737994,-11.288724305951845,1.5
CC[P+](CC)(CC)CC,-15.039818504648323,-14.682730826487315,1.5
CCc1n(C)cc(C)[n+]1C,-12.315428351155429,-12.655521782517708,0.5597867481607182
CCc1n(C)cc[n+]1C,-12.886159939836938,-11.158473551780947,1.5
CCc1n(CC)c(C)c[n+]1CC,-11.052103757532565,-12.134914784452725,0.053198232315425635
CCn1cc[n+](C)c1C(C)C,-13.797183800035713,-11.591485498192794,0.10099433444108816
CN(C)CC(C)(C)CN(C)C,-14.29422764338766,-12.607107782746306,0.0
CN(C)CCCCN(C)C,-13.653427594181386,-14.113893391964359,1.3456623121926103
CN(C)CCCN(C)C,-12.23822870113744,-12.152265443988073,1.5
CN(C)Cc1ccccc1,-11.496178067025786,-12.27077096025458,1.5
CN(C)[P+](C)(N(C)C)N(C)C,-16.507043727285154,-13.724871164767967,0.0
CN1C(C)(C)CCCC1(C)C,-15.076920807201278,-13.51399130393296,-1.5
CN1CCN(C)CCN(C)CC1,-12.682020851385046,-11.449212941680171,0.0
CN1C[C@@H]2C[C@@H](C1)C[N+](C)(C)C2,-12.30269846050158,-16.263867484079558,-0.06722515423434318
CN1C[C@@H]2C[C@H](C1)C[N+](C)(C)C2,-14.909201447995956,-14.163446722507205,-0.15936030217698693
CN1C[C@H]2C[C@H](C1)C[N+](C)(C)C2,-13.914262821109444,-15.975669302988354,-0.3454333694202294
C[C@@H]1CCCC[N+]1(C)C,-13.806931108464108,-12.561673678352356,1.5
C[C@@H]1CCCC[N@+]12CCC[C@H]2C,-15.206214507443235,-11.76898998941037,-1.3258580828850928
C[C@@H]1CCCC[N@@+]12CCC[C@H]2C,-14.018096579234829,-11.43213075253621,0.0
C[C@@H]1CCC[C@@H](C)[N+]1(C)C,-14.354237429329414,-13.825383616905874,1.5
C[C@@H]1CCC[C@@H](C)[N+]12CCCC2,-16.75502650710709,-15.290653524414527,-0.60584155605126
C[C@@H]1CCC[C@@H](C)[N+]12CCCCC2,-14.792766446304505,-13.985525307519195,-0.2530091483345433
C[C@@H]1CCC[C@@H](C)[N+]12CCC[C@H]2C,-15.77424133130556,-17.272051876442074,-1.497810545136517
C[C@@H]1CCC[C@H]([N+]2(C)CCCC2)C1,-11.300395029050884,-14.986534810580896,-1.4045103889142183
C[C@@H]1CCC[N+](C)(C)C1,-13.190280027246231,-12.854983597875025,1.5
C[C@@H]1CCC[N+]12CCCCCC2,-15.306465866296179,-16.209524220435082,0.332792951888198
C[C@@H]1CCC[N@+]12CCCC(C)(C)C2,-12.103364300577464,-14.800911294445285,0.0
C[C@@H]1CCC[N@@+]12CCC[C@@H]1CCCC[C@H]12,-11.257500813492195,-11.155099915910338,1.0933697601040286
C[C@@H]1CC[N+](C)(C)[C@@H]2C[C@H]1C2(C)C,-16.155111728576504,-12.256048882341068,-1.5
C[C@@H]1CC[N+](C)(C)[C@H]2C[C@@H]1C2(C)C,-15.819639742833006,-12.243019371279573,-1.5
C[C@@H]1CNC[C@H](C)C1,-11.969486060350047,-11.989490481494474,1.5
C[C@@H]1C[C@@H](C)C[N+](C)(C)C1,-13.745081689267671,-12.497181606758867,1.5
C[C@@H]1C[C@@H](C)C[N+]2(CCCC2)C1,-12.086456113320171,-12.982234945193474,0.0
C[C@@H]1C[C@@H](C)C[N+]2(CCCCC2)C1,-11.864853062090509,-12.785281185217595,0.0
C[C@@H]1C[C@H]2CC[C@]1(C)CC[N+]2(C)C,-14.878349705417845,-12.075924680790402,-0.5817753467520568
C[C@@H]1C[N+]2(C)CCN1CC2,-13.677672263542476,-12.544085396925235,0.9956529599427312
C[C@@H]1C[N@+]2(C)CCN1C[C@H]2C,-14.241760014081402,-14.343571620896268,0.999109040984214
C[C@@H]1C[N@@+]2(C)CCN1C[C@H]2C,-15.778089366713251,-13.820259898214342,-1.1133776458179163
C[C@@H]1C[NH2+]C[C@@H](C)C1,-13.08560256533695,-12.291290170761366,1.5
C[C@@H]1[C@@H](C)[C@]2(C)CC[C@H]1[N+](C)(C)CC2,-15.880107954631715,-12.884304279299224,-1.385941619790124
C[C@H]1CCCC[C@@H]1N,-12.393086326524944,-11.646890743547205,1.5
C[C@H]1CCCC[C@H]1N,-12.388339892219939,-12.207743535755887,1.5
C[C@H]1CCCC[N+]1(C)C,-13.407957673905544,-12.784427799400227,1.5
C[C@H]1CCCC[N@+]12CCC[C@@H]2C,-14.186515316272393,-17.225164837198626,-0.3936297391397439
C[C@H]1CCCC[N@+]12CCC[C@H]2C,-13.605217459841947,-14.452783296318204,-0.8207502385620344
C[C@H]1CCCC[N@@+]12CCC[C@@H]2C,-14.53372222805215,-12.633238766833966,0.0
C[C@H]1CCCC[N@@+]12CCC[C@H]2C,-13.881547806374323,-14.816331390016101,0.07090404243048097
C[C@H]1CCC[C@@H](C)[N+]1(C)C,-14.599694806514222,-13.51488108615556,0.0
C[C@H]1CCC[C@@H](C)[N+]12CCCC2,-16.33723706907999,-15.45231260742865,0.0
C[C@H]1CCC[C@@H](C)[N+]12CCCCC2,-13.17733925587388,-13.11088436473876,0.8268011120736425
C[C@H]1CCC[C@@H](C)[N+]12CCC[C@@H]2C,-15.048451226768506,-14.869050993404903,-0.17940023336360156
C[C@H]1CCC[C@@H](C)[N+]12CCC[C@H]2C,-14.972476015610974,-14.63049032629466,0.0
C[C@H]1CCC[C@@H](C)[N@@+]12CCC[C@@H]2C,-15.012898659298274,-15.695133208440161,-0.6822345491418886
C[C@H]1CCC[C@@H](C)[N@@+]12CCC[C@H]2C,-15.73135025151968,-16.34456517572233,-0.6132149242026514
C[C@H]1CCC[C@@H](C)[NH2+]1,-12.31422694816412,-11.989688088781676,1.5
C[C@H]1CCC[C@@H]([N+]2(C)CCCC2)C1,-11.220320418136744,-15.479992154034498,0.0
C[C@H]1CCC[C@H](C)[N+]1(C)C,-15.149539656039865,-13.932995110165699,0.2069031582384131
C[C@H]1CCC[C@H](C)[N+]12CCCC2,-15.583452614493005,-16.389985611363205,1.5
C[C@H]1CCC[C@H](C)[N+]12CCCCC2,-13.888819080485465,-11.525379977706294,0.0
C[C@H]1CCC[C@H](C)[N+]12CCC[C@@H]2C,-15.374348532394595,-14.65085843007626,-0.7234901023183298
C[C@H]1CCC[C@H](C)[N+]12CCC[C@H]2C,-16.296699326451307,-12.826712783893305,-1.5
C[C@H]1CCC[N+](C)(C)C1,-13.50582092068534,-12.673110037143381,1.5
C[C@H]1CCC[N+]12CCCCCC2,-12.949355449796276,-15.937556129141404,0.0
C[C@H]1CCC[N+]12C[C@H](C)C[C@@H](C)C2,-13.223833579780672,-15.673971941759241,-0.6330709337165032
C[C@H]1CCC[N@+]12CCCC(C)(C)C2,-13.481225909122115,-17.088483765549118,-0.5141849210096332
C[C@H]1CCC[N@+]12CCCC[C@H]2C,-14.934604765292795,-15.541043050036215,0.0
C[C@H]1CCC[N@@+]12CCCC(C)(C)C2,-12.010072849680965,-12.292735762006282,1.5
C[C@H]1CCC[N@@+]12CCCC[C@H]2C,-14.79161523577853,-16.070530449367293,-1.2789152135887676
C[C@H]1CC[N+](C)(C)[C@@H]2C[C@@H]1C2(C)C,-15.303901165993901,-14.02803679129122,-1.2758643747026817
C[C@H]1CC[N+](C)(C)[C@@H]2C[C@H]1C2(C)C,-15.793134482824572,-14.13991422198306,-1.5
C[C@H]1CC[N+](C)(C)[C@H]2C[C@@H]1C2(C)C,-15.845449966848395,-11.943833871241589,-1.5
C[C@H]1CN2CC[N@+]1(C)C[C@H]2C,-14.593585577425985,-15.09400685575784,0.32238129935441506
C[C@H]1CN2CC[N@@+]1(C)C[C@H]2C,-14.758311540009954,-13.891101775650634,0.0
C[C@H]1CNC[C@H](C)C1,-11.604460964076635,-11.622870054126228,1.5
C[C@H]1C[C@@H](C)C[N+](C)(C)C1,-13.375532436735694,-13.070007610232256,1.295268341234296
